sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,12.474883483123829,0.607595807640406,0.062374417415619145,1.0899014485411584,10,6,4,0.020348310470581055
1,12.614900911376555,0.6310299455510208,0.06307450455688278,1.6278282600217484,10,6,4,0.01922297477722168
2,10.467373677640136,0.6468362004097616,0.061572786339059625,1.9151115343533345,9,6,3,0.018082141876220703
3,14.102082001073509,0.641599647297612,0.06295572321907816,1.587537096636851,10,6,4,0.022107839584350586
4,12.053879060359003,0.6848865873930268,0.06659601690806079,1.170551494069887,10,6,4,0.021122455596923828
5,11.256156210033627,0.643913637554439,0.059242927421229614,1.2402194894686467,10,6,4,0.018239498138427734
6,11.568914418120468,0.6658535059179002,0.06536109840746027,0.9264372090859722,9,6,3,0.0174410343170166
7,13.897015465105124,0.753419617310083,0.07314218665844802,0.7637204385648516,8,6,2,0.017734289169311523
8,10.565209517572136,0.5276089139673776,0.06071959492857549,1.4243220723647676,10,6,4,0.018343448638916016
9,13.586538679396007,0.5931263539886724,0.05959008192717547,1.124958463205635,10,6,4,0.020238637924194336
10,12.534208369078053,0.6244155820905494,0.061142479849161234,1.3921900114588657,10,6,4,0.02395772933959961
11,11.5608997426225,0.5659544881804762,0.05639463289084146,1.0572270786083746,10,6,4,0.02025890350341797
12,15.16328498192928,0.6554742179367915,0.06425120755054779,1.5606499081649088,10,6,4,0.01930546760559082
13,11.970577422186894,0.5588144626382321,0.055419339917531917,1.2310686425827178,10,6,4,0.020481348037719727
14,12.281792287653836,0.6026077310587264,0.05904707830602806,1.6037532762571864,10,6,4,0.019020557403564453
15,12.182586659117776,0.6436548150902845,0.06215605438325396,1.183758737005512,9,6,3,0.017781972885131836
16,11.398321059105374,0.6162560769402238,0.06062936733566689,1.0641028610992103,10,6,4,0.019099950790405273
17,12.895472618596678,0.5597435939620254,0.05558393370084775,1.0819627365843636,10,6,4,0.020453929901123047
18,13.652875956533638,0.5921792241993934,0.06067944869570506,1.0574086840142698,10,6,4,0.021050453186035156
19,13.12970590926778,0.5933570340039845,0.06078567550586936,2.529663174438069,10,6,4,0.019869565963745117
