Method,Sample,Total Cost,Cost Ratio,H-bar Distance,Model Count,Runtime
Ours (Manifold Opt.),0,5.279457194555825,0.8897467183696188,0.0896654228682909,4,0.2609989643096924
Ours (Manifold Opt.),1,5.955101279957712,0.9562095952328226,0.0491726378850287,4,0.2471439838409423
Ours (Manifold Opt.),2,6.100758743167535,0.9763015465915056,0.0544110732067756,4,0.2101714611053466
Ours (Manifold Opt.),3,6.063130270250814,0.952182994281862,0.0503790034477355,4,0.2498233318328857
Ours (Manifold Opt.),4,5.3618059051673335,0.8815710983142019,0.0804132980378305,4,0.2187004089355468
Ours (Manifold Opt.),5,5.636783063183238,0.9618739999896256,0.0509779616498732,4,0.1877920627593994
Ours (Manifold Opt.),6,5.18948596184967,0.9086337180836546,0.0680841947166999,4,0.2833065986633301
Ours (Manifold Opt.),7,5.337440174740061,0.9634026972337578,0.0916857593748845,4,0.2357425689697265
Ours (Manifold Opt.),8,5.920342675999793,0.9691105430841712,0.036568365576752,4,0.2460296154022216
Ours (Manifold Opt.),9,5.43219953313646,0.8967593025936256,0.0982485917769487,4,0.2255191802978515
Ours (Manifold Opt.),10,5.6560491908143655,0.9007060421132542,0.0710564691815389,4,0.2473905086517334
Ours (Manifold Opt.),11,5.184169570007649,0.9098470792347588,0.0783779133554576,4,0.209186315536499
Ours (Manifold Opt.),12,5.570171759099619,0.9294742650418336,0.0775290988269547,4,0.2153892517089843
Ours (Manifold Opt.),13,5.190093272589143,0.9289979516782848,0.0489547298527912,4,0.288736343383789
Ours (Manifold Opt.),14,5.978238684780527,0.9743327769443736,0.0340566744157459,4,0.2967538833618164
Ours (Manifold Opt.),15,5.739785448642035,0.9573815606816029,0.0287961184418235,4,0.2579042911529541
Ours (Manifold Opt.),16,5.474148690715264,0.9374081498109592,0.0647693188582835,4,0.2172937393188476
Ours (Manifold Opt.),17,5.663508437807558,0.9300507218944196,0.107442607576827,4,0.2991111278533935
Ours (Manifold Opt.),18,5.409285392762548,0.9554675609399552,0.0788432600071657,4,0.2353019714355468
Ours (Manifold Opt.),19,5.468856124586898,0.9334986819611204,0.057190208177062,4,0.2045698165893554
PARSAC,0,5.2440357097691015,0.8837771368980111,0.0929798490495456,4,0.016681432723999
PARSAC,1,5.968729180176465,0.9583978248429392,0.0458824640470723,4,0.0160808563232421
PARSAC,2,6.100759208426308,0.9763016210466476,0.0544113285237662,4,0.0162630081176757
PARSAC,3,6.065446095905775,0.952546682625686,0.058787722405423,4,0.0161213874816894
PARSAC,4,5.371730810159772,0.8832029196724528,0.0788519375624511,4,0.016036033630371
PARSAC,5,5.6359072286736165,0.9617245455164528,0.0512482401559795,4,0.0161807537078857
PARSAC,6,5.186525925156101,0.9081154414824046,0.072460756024013,4,0.016204833984375
PARSAC,7,5.334699784564903,0.9629080595048488,0.0946088326552761,4,0.0159487724304199
PARSAC,8,5.920445307238204,0.9691273429588808,0.0292547340086112,4,0.0161983966827392
PARSAC,9,5.432199478450705,0.8967592935659823,0.0982484336730231,4,0.0163004398345947
PARSAC,10,5.6260308672457215,0.8959257291244106,0.0753837669582177,4,0.0160202980041503
PARSAC,11,5.161737021292852,0.9059100573738172,0.0825975786669919,4,0.0159940719604492
PARSAC,12,5.457621105621904,0.910693347604184,0.1198218302669327,4,0.016101598739624
PARSAC,13,5.179541422481627,0.9271092289479882,0.0416927437927819,4,0.0161080360412597
PARSAC,14,5.975501422430206,0.9738866581847122,0.0345413959865463,4,0.0160303115844726
PARSAC,15,5.704865697054107,0.9515570352576124,0.0303535143110885,4,0.0161192417144775
PARSAC,16,5.455556429027414,0.9342243602184024,0.0811539698087163,4,0.0160586833953857
PARSAC,17,5.666589815031493,0.9305567398765626,0.1033100773505185,4,0.0159745216369628
PARSAC,18,5.392752325332743,0.9525472473559932,0.0796142332816492,4,0.0161929130554199
PARSAC,19,5.460173048311119,0.9320165365043462,0.059112076602548,4,0.0161266326904296
SupeRANSAC,0,5.547439453864258,0.934909758245542,0.1521585003654557,4,0.0172784328460693
SupeRANSAC,1,5.952990988721512,0.95587074612952,0.0490034983336416,4,0.0167546272277832
SupeRANSAC,2,6.124284339934855,0.9800663367553758,0.0653531600105479,4,0.0166270732879638
SupeRANSAC,3,6.69631422869526,1.0516212333777764,0.0962884902643719,4,0.0166537761688232
SupeRANSAC,4,5.510042293620417,0.9059436545182178,0.0955394980726038,4,0.0164875984191894
SupeRANSAC,5,5.7042691053747445,0.9733899779186318,0.0451241199227627,4,0.0165047645568847
SupeRANSAC,6,5.269994697262941,0.9227300952845094,0.0864729970320236,4,0.0167357921600341
SupeRANSAC,7,5.345502149492167,0.9648578757401076,0.0924646973961861,4,0.0166528224945068
SupeRANSAC,8,6.041994220962162,0.9890238827770635,0.0472422259530599,4,0.0165021419525146
SupeRANSAC,9,5.4658431902156766,0.9023132706087948,0.0921329180909364,4,0.0165362358093261
SupeRANSAC,10,6.332217390620152,1.0083834618993126,0.1286927708115493,4,0.0166230201721191
SupeRANSAC,11,5.279348778875517,0.926551495250259,0.0553982574962299,4,0.0165579319000244
SupeRANSAC,12,5.61443934009013,0.9368610349810405,0.1183091313111331,4,0.0171303749084472
SupeRANSAC,13,5.853586706719939,1.0477596017848174,0.1715292683633577,4,0.0169122219085693
SupeRANSAC,14,5.993227441644292,0.976775643124206,0.0392803208117807,4,0.0166544914245605
SupeRANSAC,15,5.715055065928715,0.9532565959751376,0.0374597622095285,4,0.0167944431304931
SupeRANSAC,16,5.5662442752264845,0.9531788488474776,0.1280354465661428,4,0.0167255401611328
SupeRANSAC,17,6.07545051973643,0.9976990771293156,0.0877727442227657,4,0.0163960456848144
SupeRANSAC,18,5.426193155925128,0.9584540587963108,0.0923637890181618,4,0.0164649486541748
SupeRANSAC,19,5.413247804245335,0.9240066981600578,0.0819330961185231,4,0.0167546272277832
