sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,5.547439453864258,0.9349097582455421,0.04622866211553548,0.1521585003654557,4,4,0,0.017278432846069336
1,5.9529909887215124,0.9558707461295199,0.049608258239345934,0.04900349833364167,4,4,0,0.016754627227783203
2,6.124284339934855,0.9800663367553758,0.05103570283279046,0.0653531600105479,4,4,0,0.016627073287963867
3,6.69631422869526,1.0516212333777764,0.0558026185724605,0.09628849026437197,4,4,0,0.016653776168823242
4,5.510042293620417,0.9059436545182178,0.045917019113503474,0.09553949807260383,4,4,0,0.016487598419189453
5,5.7042691053747445,0.9733899779186318,0.04753557587812287,0.04512411992276272,4,4,0,0.016504764556884766
6,5.269994697262941,0.9227300952845094,0.04391662247719118,0.08647299703202369,4,4,0,0.01673579216003418
7,5.345502149492167,0.9648578757401076,0.044545851245768056,0.09246469739618617,4,4,0,0.016652822494506836
8,6.041994220962162,0.9890238827770635,0.050349951841351354,0.04724222595305991,4,4,0,0.01650214195251465
9,5.4658431902156766,0.9023132706087948,0.045548693251797306,0.09213291809093642,4,4,0,0.016536235809326172
10,6.332217390620152,1.0083834618993126,0.052768478255167936,0.1286927708115493,4,4,0,0.01662302017211914
11,5.279348778875517,0.926551495250259,0.04399457315729597,0.05539825749622991,4,4,0,0.016557931900024414
12,5.61443934009013,0.9368610349810405,0.046786994500751085,0.11830913131113316,4,4,0,0.017130374908447266
13,5.853586706719939,1.0477596017848174,0.04877988922266616,0.17152926836335777,4,4,0,0.016912221908569336
14,5.993227441644292,0.976775643124206,0.04994356201370243,0.03928032081178076,4,4,0,0.016654491424560547
15,5.715055065928715,0.9532565959751375,0.047625458882739294,0.037459762209528555,4,4,0,0.016794443130493164
16,5.5662442752264845,0.9531788488474777,0.046385368960220705,0.12803544656614288,4,4,0,0.016725540161132812
17,6.07545051973643,0.9976990771293156,0.050628754331136915,0.08777274422276579,4,4,0,0.016396045684814453
18,5.426193155925128,0.9584540587963108,0.04521827629937607,0.0923637890181618,4,4,0,0.016464948654174805
19,5.413247804245335,0.9240066981600578,0.04511039836871113,0.08193309611852312,4,4,0,0.016754627227783203
