sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,16.744947017294663,0.9337986635025687,0.08906886711326949,0.2961306747975993,6,6,0,0.13309717178344727
1,22.744219027603236,0.9174890040855096,0.09437435281163169,0.3116585048874978,6,6,0,0.12942099571228027
2,21.57958565461715,0.9572014023802586,0.10083918530194931,0.342016005248512,6,6,0,0.13675808906555176
3,21.57667749367937,0.9559083896513183,0.09422129909903655,0.2224152598613362,6,6,0,0.12866973876953125
4,14.524926646356127,0.8799169496825998,0.0885666258924154,0.3663712518557632,6,6,0,0.1270885467529297
5,18.678897694754337,0.9019451259024694,0.09339448847377169,0.30434035806624604,6,6,0,0.1285567283630371
6,21.521823697597895,0.903200894069547,0.09080938269028647,0.32762822735845565,6,6,0,0.13237309455871582
7,21.491966661662968,0.9262307861268172,0.09106765534602952,0.25742869971570054,6,6,0,0.13216924667358398
8,19.75573293092925,0.9472041203638635,0.09497948524485215,0.21048077231094015,6,6,0,0.13092947006225586
9,21.684672148828245,0.920301940195036,0.09552719008294382,0.4694855356923901,6,6,0,0.12976980209350586
10,22.528608493372957,0.9074894883132926,0.09505741980326142,0.32065187757581753,6,6,0,0.12903881072998047
11,17.95133834009756,0.9568974185462569,0.09020773035224905,0.32467798081872556,6,6,0,0.12808537483215332
12,21.118396859312213,0.9605278539581354,0.09385954159694317,0.31706940836864456,6,6,0,0.13106203079223633
13,26.721283007112923,1.359691762730714,0.13228357924313328,0.408865804136492,5,6,1,0.1086726188659668
14,21.48408715751465,0.9050579084161083,0.09026927377106995,0.31049156298387737,6,6,0,0.13001585006713867
15,22.511930220918195,0.9424314598491688,0.10049968848624194,0.18320276944750166,6,6,0,0.1285545825958252
16,17.00235284751686,0.8897891554363934,0.08995953887575059,0.33049384470636506,6,6,0,0.12680697441101074
17,17.11865498664777,0.8541112754011354,0.09203577949810629,0.4429102518283688,6,6,0,0.12960338592529297
18,18.237769095898834,0.90412434888458,0.092109944928782,0.3358544135567213,6,6,0,0.1290111541748047
19,21.835439670684373,0.8971685970586549,0.09493669422036684,0.33510461377853945,6,6,0,0.13112616539001465
