method,sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,runtime
ours,0,5.261589406604326,0.9192813154503906,0.0438465783883693,0.127966605842048,4,2.234038829803467
ours,1,5.816298595322971,0.9145020545880942,0.0484691549610247,0.1024279284853579,4,2.003448486328125
ours,2,5.429095053508519,0.903328998833928,0.0452424587792376,0.0747076673962437,4,2.199962854385376
ours,3,5.55889428473812,0.9603886873850978,0.0463241190394843,0.0613866490131645,4,2.2107393741607666
ours,4,5.682351778261074,0.9377514124336744,0.0473529314855089,0.1097205541093237,4,2.197054147720337
ours,5,5.488095877045012,0.8901794629111196,0.0457341323087084,0.1180858823643393,4,2.13196873664856
ours,6,5.702207980325369,0.9221970917895588,0.0475183998360447,0.0763607831490818,4,2.3435933589935303
ours,7,5.556987422978821,0.8754385881498346,0.0463082285248235,0.08853613079692,4,2.169763803482056
ours,8,5.405345238208994,0.8658951892842137,0.0450445436517416,0.0712311796472515,4,2.1569032669067383
ours,9,6.015469315439368,0.9378995743597528,0.0501289109619947,0.1100770364036347,4,2.2920048236846924
ours,10,6.008013231465563,0.9409595134962692,0.0500667769288796,0.0795111515656221,4,2.3804948329925537
ours,11,5.4155770080004,0.9466209666683276,0.0451298084000033,0.0729064321554149,4,2.343333005905152
ours,12,5.618661431107836,0.9713339928398962,0.0468221785925653,0.0754244078403724,4,2.205938577651977
ours,13,5.349245395680863,0.9338642789541332,0.0445770449640071,0.068170062384092,4,2.3779401779174805
ours,14,4.713114582284371,0.8568722429398652,0.0392759548523697,0.1086402558928844,4,2.169031143188477
ours,15,5.37150787701507,0.9318538613775954,0.0447625656417922,0.0886739349770534,4,2.199645519256592
ours,16,5.047261997857846,0.911695318653708,0.0420605166488153,0.1150194930218941,4,2.2941157817840576
ours,17,5.411535344487728,0.8926747187421404,0.045096127870731,0.0946028660098201,4,2.382788896560669
ours,18,5.573056993371208,0.909758837344802,0.0464421416114267,0.0597574704125702,4,2.1097075939178467
ours,19,5.753351264247607,0.9740435315465136,0.04794459386873,0.0804590560683105,4,2.3448808193206787
parsac,0,5.269015413346242,0.9205787540604204,0.0439084617778853,0.1377459118113999,4,0.018050193786621
parsac,1,5.827105271698785,0.9162011983969932,0.0485592105974898,0.0993864505342957,4,0.0175473690032959
parsac,2,5.410616406408742,0.9002543984410579,0.0450884700534061,0.078279580791534,4,0.0175092220306396
parsac,3,5.545195109260416,0.958021933768032,0.0462099592438368,0.0640260114110468,4,0.0175268650054931
parsac,4,5.6823517554969865,0.9377514086769456,0.0473529312958082,0.1097206398517664,4,0.0174586772918701
parsac,5,5.438633256131721,0.8821565328630248,0.0453219438010976,0.1272991625898954,4,0.0172233581542968
parsac,6,5.691958787640502,0.920539527610948,0.0474329898970041,0.1135386307894462,4,0.0172677040100097
parsac,7,5.418646719740266,0.8536446230553634,0.0451553893311688,0.0810136085552701,4,0.0172820091247558
parsac,8,5.462130501902963,0.8749917565686255,0.0455177541825246,0.0625966245533113,4,0.0173568725585937
parsac,9,6.015469322876726,0.9378995755193458,0.0501289110239727,0.1100770519218693,4,0.0172970294952392
parsac,10,6.02822133749256,0.944124454864284,0.050235177812438,0.0780846680247774,4,0.0171856880187988
parsac,11,5.402908007841603,0.9444064766593544,0.04502423339868,0.077293363543395,4,0.0171890258789062
parsac,12,5.5419317455858295,0.9580692405992998,0.0461827645465485,0.086476829137516,4,0.0173060894012451
parsac,13,5.353593363500219,0.9346233415007528,0.0446132780291684,0.069040449134922,4,0.0172357559204101
parsac,14,4.704127387306441,0.855238317478468,0.039201061560887,0.1133326223659145,4,0.0172412395477294
parsac,15,5.37515362282995,0.9324863285344872,0.0447929468569162,0.0891022222018966,4,0.0173242092132568
parsac,16,5.047262726276122,0.911695450229111,0.0420605227189676,0.1150192385419649,4,0.0173172950744628
parsac,17,5.390069055369949,0.8891336878921489,0.0449172421280829,0.1066263779990467,4,0.0172634124755859
parsac,18,5.697602288933853,0.930089902220436,0.0474800190744487,0.0654607546333697,4,0.0173721313476562
parsac,19,5.761700279731428,0.975457021554908,0.0480141689977619,0.0736293957409352,4,0.0171835422515869
superansac,0,5.468432039426231,0.955419933061463,0.0455702669952185,0.1880269664929914,4,0.0337309837341308
superansac,1,6.301107525532402,0.9907290149982244,0.0525092293794366,0.1126702414825211,4,0.03533935546875
superansac,2,5.820785196751814,0.968501013960174,0.0485065433062651,0.0935443086436001,4,0.0340969562530517
superansac,3,5.56416974900065,0.9613001089626492,0.046368081241672,0.1031631357447374,4,0.0376505851745605
superansac,4,5.984338877895341,0.987587966077216,0.0498694906491278,0.119154263044421,4,0.0373387336730957
superansac,5,6.278116033804079,1.018322216716544,0.0523176336150339,0.1671897790198091,4,0.0349931716918945
superansac,6,5.724012383718267,0.9257234376307693,0.0477001031976522,0.0900690671570886,4,0.0391833782196044
superansac,7,5.693659430627695,0.896969669706898,0.0474471619218974,0.1211382891263933,4,0.033808946609497
superansac,8,5.58285309620517,0.8943305978521152,0.0465237758017097,0.0842654070151123,4,0.0341050624847412
superansac,9,6.076014013079172,0.9473393775020228,0.0506334501089931,0.1086315600828172,4,0.0388410091400146
superansac,10,6.059988924845072,0.9490998123391338,0.0504999077070422,0.0884990436438119,4,0.0419821739196777
superansac,11,5.617351409698147,0.9818903163427716,0.0468112617474845,0.0816725717470008,4,0.037604808807373
superansac,12,5.612296134338797,0.9702335832134948,0.0467691344528233,0.114174352695955,4,0.037834882736206
superansac,13,5.520169585369079,0.963704000887228,0.0460014132114089,0.1229774047984127,4,0.0375313758850097
superansac,14,4.779548172657586,0.8689502645104875,0.0398295681054798,0.1155930059292037,4,0.0372877120971679
superansac,15,5.436923417309391,0.9432022062396044,0.0453076951442449,0.1137464085745688,4,0.0377986431121826
superansac,16,5.024123175704036,0.907515714772288,0.0418676931308669,0.1232927301443133,4,0.0413441658020019
superansac,17,5.706877478618047,0.9413936939930436,0.047557312321817,0.1589979692570348,4,0.0367934703826904
superansac,18,5.90882264803838,0.9645700068651666,0.0492401887336531,0.1040421456894689,4,0.0344607830047607
superansac,19,5.850984022747775,0.9905727772880506,0.0487582001895647,0.1236034282255697,4,0.0376131534576416
ransac,0,5.47379436597918,0.956356814719557,0.0456149530498265,0.1377648155255176,4,0.0884604454040527
ransac,1,8.287997861551329,1.303129636244122,0.069066648846261,0.2681698936004316,4,0.0915398597717285
ransac,2,5.942140808532647,0.9886929690120596,0.0495178400711053,0.082689493051768,4,0.0891745090484619
ransac,3,6.187534271474589,1.0689963889845293,0.0515627855956215,0.2291265699574594,4,0.0853497982025146
ransac,4,6.932451469988456,1.144053802244359,0.0577704289165704,0.2141319601029613,4,0.0874936580657959
ransac,5,6.622577673590532,1.074194541903343,0.0551881472799211,0.184560531835335,4,0.0859875679016113
ransac,6,5.914316597233501,0.9565006370708068,0.0492859716436125,0.1443297727114231,4,0.0849285125732421
ransac,7,6.059928079730051,0.9546710256120428,0.050499400664417,0.147822991220737,4,0.0849189758300781
ransac,8,6.360701741064823,1.0189360337480815,0.0530058478422068,0.1218922242500612,4,0.084641695022583
ransac,9,6.169338014726728,0.9618899531650288,0.0514111501227227,0.110933590641184,4,0.0847194194793701
ransac,10,6.059988924845071,0.9490998123391337,0.0504999077070422,0.088499043643813,4,0.0871846675872802
ransac,11,5.9313790489680045,1.0367810781225515,0.0494281587414,0.1189768247723811,4,0.0861396789550781
ransac,12,6.045403795188785,1.0451076788857834,0.0503783649599065,0.1815528825189396,4,0.0858824253082275
ransac,13,6.513299781397964,1.137083374204246,0.0542774981783163,0.1668463870375461,4,0.0852625370025634
ransac,14,5.300264400172489,0.9636195694925912,0.0441688700014374,0.1646014642509286,4,0.085198163986206
ransac,15,5.540128996925118,0.961106400012112,0.0461677416410426,0.1053469915575012,4,0.0851686000823974
ransac,16,5.024123175704038,0.9075157147722884,0.0418676931308669,0.1232927301443098,4,0.0844624042510986
ransac,17,6.163649461675165,1.0167417746297418,0.0513637455139597,0.1940373056608204,4,0.0856106281280517
ransac,18,7.562144837178175,1.234462181723102,0.0630178736431514,0.2448051078084554,4,0.0850777626037597
ransac,19,5.824162720283536,0.986031925361402,0.0485346893356961,0.1078124890209442,4,0.0852196216583252
kmeans,0,51.62319156040249,9.019372622619969,0.4301932630033541,6.526758710406572,4,0.0010850429534912
kmeans,1,61.16452079415736,9.616954669268852,0.5097043399513113,4.135232066488534,4,0.0007193088531494
kmeans,2,80.27343994268833,13.356429648348634,0.6689453328557361,6.572330736105133,4,0.0004851818084716
kmeans,3,88.92065643766614,15.362478245368278,0.7410054703138845,9.984292563160457,4,0.0009615421295166
kmeans,4,102.8204882229114,16.968336671275537,0.8568374018575949,8.62835677959207,4,0.0003900527954101
kmeans,5,45.239106198213086,7.337868025692681,0.3769925516517757,4.807104098398911,4,0.000709056854248
kmeans,6,96.8012933584764,15.65531659396982,0.8066774446539701,8.881668266000942,4,0.00038743019104
kmeans,7,67.6694055036189,10.660525983927991,0.5639117125301575,6.071751581057463,4,0.0006153583526611
kmeans,8,39.74520167002365,6.366878970085451,0.3312100139168638,5.3348733551091305,4,0.0006158351898193
kmeans,9,63.1509037967627,9.846148768376082,0.5262575316396891,5.257901027166001,4,0.0005733966827392
kmeans,10,83.12064250203952,13.018140326421603,0.6926720208503293,6.389545794603874,4,0.0007658004760742
