sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,49.27939470265086,8.609874941968956,0.41066162252209054,6.698712841477696,4,4,0,0.0004754066467285156
1,43.22566382589804,6.79641145169284,0.360213865215817,3.556326183165724,4,4,0,0.0004687309265136719
2,79.00792116061116,13.145864203619402,0.6583993430050931,8.678492272085766,4,4,0,0.00040984153747558594
3,55.840706426392444,9.64738309464471,0.465339220219937,4.20498913942275,4,4,0,0.0005576610565185547
4,113.39635332230856,18.713658471416302,0.9449696110192379,11.405441232123927,4,4,0,0.0004584789276123047
5,37.406892410242484,6.06746823323593,0.3117241034186874,4.3968666725508285,4,4,0,0.0006735324859619141
6,95.93647431167929,15.515452595211391,0.7994706192639941,6.787541841942495,4,4,0,0.0004680156707763672
7,81.90559468452646,12.903271631620482,0.6825466223710539,8.000503079442188,4,4,0,0.0005578994750976562
8,41.76974297619206,6.691195086866783,0.3480811914682672,6.321131717275246,4,4,0,0.0005295276641845703
9,60.072031333662046,9.366107557752908,0.5006002611138504,6.085862405012288,4,4,0,0.0005578994750976562
10,94.34487307705987,14.776050326673847,0.7862072756421656,12.493438366108391,4,4,0,0.0007498264312744141
11,87.68207698002031,15.326472571195207,0.7306839748335026,10.736222077974345,4,4,0,0.0006504058837890625
12,53.47155876317417,9.243970884105453,0.4455963230264514,6.480290034635188,4,4,0,0.00035381317138671875
13,38.95659592290329,6.800991667240396,0.3246382993575274,3.3374758546116943,4,4,0,0.000461578369140625
14,67.19631953550987,12.21669026552475,0.5599693294625823,6.5096369037804545,4,4,0,0.0008389949798583984
15,81.32206381123822,14.107822405318416,0.6776838650936519,7.422017368290334,4,4,0,0.0005478858947753906
16,66.27976579381556,11.972224192311028,0.5523313816151296,6.543030753882714,4,4,0,0.0005033016204833984
17,34.562071866503715,5.701281765442753,0.2880172655541976,3.9236779413831413,4,4,0,0.0009241104125976562
18,62.10472754672608,10.138120746607958,0.5175393962227174,4.498436914246028,4,4,0,0.0004100799560546875
19,52.488298374506,8.886279520473,0.4374024864542167,8.730012507158275,4,4,0,0.0003802776336669922
