sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,5.269015413346242,0.9205787540604203,0.04390846177788535,0.13774591181139997,4,4,0,0.018050193786621094
1,5.827105271698785,0.9162011983969931,0.048559210597489876,0.09938645053429579,4,4,0,0.0175473690032959
2,5.410616406408742,0.9002543984410579,0.04508847005340619,0.07827958079153408,4,4,0,0.01750922203063965
3,5.545195109260416,0.958021933768032,0.0462099592438368,0.06402601141104688,4,4,0,0.017526865005493164
4,5.6823517554969865,0.9377514086769455,0.04735293129580822,0.10972063985176646,4,4,0,0.017458677291870117
5,5.438633256131721,0.8821565328630248,0.04532194380109768,0.12729916258989543,4,4,0,0.017223358154296875
6,5.691958787640502,0.920539527610948,0.04743298989700418,0.11353863078944627,4,4,0,0.017267704010009766
7,5.418646719740266,0.8536446230553634,0.04515538933116889,0.08101360855527018,4,4,0,0.01728200912475586
8,5.462130501902963,0.8749917565686255,0.04551775418252469,0.06259662455331137,4,4,0,0.01735687255859375
9,6.015469322876726,0.9378995755193458,0.05012891102397272,0.11007705192186938,4,4,0,0.017297029495239258
10,6.02822133749256,0.9441244548642839,0.050235177812438005,0.07808466802477744,4,4,0,0.017185688018798828
11,5.402908007841603,0.9444064766593544,0.04502423339868002,0.07729336354339508,4,4,0,0.01718902587890625
12,5.5419317455858295,0.9580692405992998,0.04618276454654858,0.086476829137516,4,4,0,0.017306089401245117
13,5.353593363500219,0.9346233415007529,0.04461327802916849,0.06904044913492204,4,4,0,0.017235755920410156
14,4.704127387306441,0.855238317478468,0.039201061560887006,0.11333262236591456,4,4,0,0.017241239547729492
15,5.37515362282995,0.9324863285344872,0.04479294685691625,0.08910222220189666,4,4,0,0.017324209213256836
16,5.047262726276122,0.911695450229111,0.04206052271896768,0.11501923854196498,4,4,0,0.01731729507446289
17,5.390069055369949,0.8891336878921489,0.04491724212808291,0.1066263779990467,4,4,0,0.017263412475585938
18,5.697602288933853,0.9300899022204361,0.04748001907444877,0.0654607546333697,4,4,0,0.01737213134765625
19,5.761700279731428,0.975457021554908,0.0480141689977619,0.07362939574093527,4,4,0,0.017183542251586914
