sample_id,total_cost,cost_ratio,average_distance,total_hbar_distance,model_count,gt_model_count,model_count_error,runtime
0,5.468432039426231,0.955419933061463,0.04557026699521859,0.18802696649299144,4,4,0,0.03373098373413086
1,6.301107525532402,0.9907290149982244,0.05250922937943668,0.11267024148252111,4,4,0,0.03533935546875
2,5.820785196751814,0.9685010139601739,0.04850654330626512,0.09354430864360015,4,4,0,0.03409695625305176
3,5.56416974900065,0.9613001089626493,0.046368081241672084,0.10316313574473744,4,4,0,0.03765058517456055
4,5.984338877895341,0.987587966077216,0.04986949064912784,0.119154263044421,4,4,0,0.0373387336730957
5,6.2781160338040785,1.018322216716544,0.052317633615033984,0.1671897790198091,4,4,0,0.03499317169189453
6,5.724012383718267,0.9257234376307691,0.04770010319765223,0.09006906715708862,4,4,0,0.03918337821960449
7,5.693659430627695,0.896969669706898,0.047447161921897456,0.12113828912639339,4,4,0,0.03380894660949707
8,5.58285309620517,0.8943305978521152,0.04652377580170975,0.08426540701511237,4,4,0,0.03410506248474121
9,6.076014013079172,0.9473393775020228,0.0506334501089931,0.10863156008281727,4,4,0,0.03884100914001465
10,6.059988924845072,0.9490998123391338,0.05049990770704227,0.08849904364381195,4,4,0,0.041982173919677734
11,5.617351409698147,0.9818903163427715,0.04681126174748455,0.08167257174700085,4,4,0,0.03760480880737305
12,5.612296134338797,0.9702335832134947,0.046769134452823304,0.11417435269595505,4,4,0,0.037834882736206055
13,5.520169585369079,0.9637040008872281,0.046001413211408985,0.12297740479841271,4,4,0,0.037531375885009766
14,4.779548172657586,0.8689502645104875,0.039829568105479884,0.11559300592920373,4,4,0,0.03728771209716797
15,5.436923417309391,0.9432022062396044,0.045307695144244924,0.11374640857456889,4,4,0,0.03779864311218262
16,5.024123175704036,0.907515714772288,0.04186769313086696,0.1232927301443133,4,4,0,0.04134416580200195
17,5.706877478618047,0.9413936939930437,0.04755731232181706,0.1589979692570348,4,4,0,0.03679347038269043
18,5.90882264803838,0.9645700068651666,0.04924018873365317,0.10404214568946893,4,4,0,0.03446078300476074
19,5.850984022747775,0.9905727772880506,0.04875820018956479,0.12360342822556974,4,4,0,0.0376131534576416
